time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.705000,1.452929,1.218031,-0.658752,-0.421899,-20.000000,0.000000,1.333000,2.913281
0.710000,1.457851,0.984318,-0.660256,-0.300798,-20.000000,0.000000,1.333000,2.901189
0.715000,1.463221,1.074019,-0.661963,-0.341536,19.246058,0.000000,1.333000,2.891412
0.720000,1.468803,1.116373,-0.663756,-0.358518,13.561083,0.000000,1.333000,2.880737
0.725000,1.474661,1.171625,-0.665665,-0.381897,15.220779,0.000000,1.333000,2.869634
0.730000,1.480789,1.225694,-0.667688,-0.404620,15.164541,0.000000,1.333000,2.857975
0.735000,1.487177,1.277659,-0.669820,-0.426222,14.995718,0.000000,1.333000,2.845771
0.740000,1.492421,1.048788,-0.671356,-0.307334,-20.000000,0.000000,1.333000,2.833043
0.745000,1.496530,0.821741,-0.672304,-0.189511,-20.000000,0.000000,1.333000,2.822590
0.750000,1.500694,0.832707,-0.673258,-0.190860,9.780144,0.000000,1.333000,2.814396
0.755000,1.504568,0.774904,-0.674047,-0.157811,1.122099,0.000000,1.333000,2.806091
0.760000,1.508150,0.716338,-0.674669,-0.124424,0.996653,0.000000,1.333000,2.798360
0.765000,1.511312,0.632496,-0.675061,-0.078448,-2.241824,0.000000,1.333000,2.791211
0.770000,1.513921,0.521834,-0.675157,-0.019138,-5.698858,0.000000,1.333000,2.784898
0.775000,1.515782,0.372054,-0.674859,0.059623,-10.740950,0.000000,1.333000,2.779688
0.780000,1.516620,0.167612,-0.674031,0.165564,-17.780738,0.000000,1.333000,2.775974
0.785000,1.516350,-0.053854,-0.672632,0.279804,-20.000000,0.000000,1.333000,2.774300
0.790000,1.514974,-0.275297,-0.670663,0.393790,-20.000000,0.000000,1.333000,2.774838
0.795000,1.512489,-0.497060,-0.668125,0.507680,-20.000000,0.000000,1.333000,2.777587
0.800000,1.508891,-0.719488,-0.665017,0.621635,-20.000000,0.000000,1.333000,2.782549
0.805000,1.504177,-0.942933,-0.661338,0.735820,-20.000000,0.000000,1.333000,2.789731
0.810000,1.498338,-1.167754,-0.657086,0.850404,-20.000000,0.000000,1.333000,2.799141
0.815000,1.491366,-1.394324,-0.652258,0.965564,-20.000000,0.000000,1.333000,2.810790
0.820000,1.483251,-1.623030,-0.646850,1.081486,-20.000000,0.000000,1.333000,2.824693
0.825000,1.473980,-1.854278,-0.640858,1.198367,-20.000000,0.000000,1.333000,2.840867
0.830000,1.463537,-2.088499,-0.634276,1.316416,-20.000000,0.000000,1.333000,2.859331
0.835000,1.451906,-2.326152,-0.627097,1.435860,-20.000000,0.000000,1.333000,2.880107
0.840000,1.439068,-2.567728,-0.619312,1.556941,-20.000000,0.000000,1.333000,2.903220
0.845000,1.425842,-2.645125,-0.611334,1.595606,0.263861,0.000000,1.333000,2.928696
0.850000,1.413054,-2.557584,-0.603576,1.551634,20.000000,0.000000,1.333000,2.954894
0.855000,1.400716,-2.467572,-0.596044,1.506414,20.000000,0.000000,1.333000,2.980177
0.860000,1.388841,-2.375098,-0.588744,1.459952,20.000000,0.000000,1.333000,3.004522
0.865000,1.377440,-2.280177,-0.581683,1.412262,20.000000,0.000000,1.333000,3.027906
0.870000,1.366031,-2.281774,-0.574619,1.412829,8.712668,0.000000,1.333000,3.050308
0.875000,1.353641,-2.478082,-0.567066,1.510665,-13.341321,0.000000,1.333000,3.072675
0.880000,1.340230,-2.682122,-0.559005,1.612111,-13.806620,0.000000,1.333000,3.096906
0.885000,1.327309,-2.584141,-0.551194,1.562289,20.000000,0.000000,1.333000,3.123058
0.890000,1.314893,-2.483219,-0.543639,1.511001,20.000000,0.000000,1.333000,3.148176
0.895000,1.302996,-2.379376,-0.536347,1.458259,20.000000,0.000000,1.333000,3.172238
0.900000,1.291633,-2.272644,-0.529327,1.404081,20.000000,0.000000,1.333000,3.195221
0.905000,1.280013,-2.324019,-0.522182,1.428969,2.980132,0.000000,1.333000,3.217103
0.910000,1.267036,-2.595481,-0.514363,1.563786,-20.000000,0.000000,1.333000,3.239405
0.915000,1.253039,-2.799405,-0.506040,1.664547,-12.436168,0.000000,1.333000,3.264222
0.920000,1.239589,-2.689923,-0.497998,1.608376,20.000000,0.000000,1.333000,3.290874
0.925000,1.226705,-2.576845,-0.490246,1.550423,20.000000,0.000000,1.333000,3.316370
0.930000,1.214404,-2.460200,-0.482793,1.490706,20.000000,0.000000,1.333000,3.340683
