time,theta0,theta1,theta2
0.495000,3.283413,-2.463568,2.510912
0.496000,3.286012,-2.464339,2.512553
0.497000,3.288609,-2.465107,2.514191
0.498000,3.291204,-2.465873,2.515827
0.499000,3.293796,-2.466637,2.517459
0.500000,3.296385,-2.467398,2.519088
0.501000,3.298972,-2.468157,2.520713
0.502000,3.301557,-2.468913,2.522336
0.503000,3.304139,-2.469667,2.523956
0.504000,3.306719,-2.470419,2.525572
0.505000,3.309296,-2.471168,2.527186
0.506000,3.311871,-2.471914,2.528796
0.507000,3.314443,-2.472658,2.530403
0.508000,3.317013,-2.473400,2.532007
0.509000,3.319581,-2.474139,2.533608
0.510000,3.322146,-2.474876,2.535206
0.511000,3.324708,-2.475610,2.536801
0.512000,3.327268,-2.476342,2.538392
0.513000,3.329825,-2.477072,2.539981
0.514000,3.332380,-2.477799,2.541567
0.515000,3.334933,-2.478523,2.543149
0.516000,3.337483,-2.479246,2.544729
0.517000,3.340030,-2.479966,2.546305
0.518000,3.342575,-2.480683,2.547878
0.519000,3.345117,-2.481398,2.549449
0.520000,3.347657,-2.482111,2.551016
0.521000,3.350194,-2.482821,2.552580
0.522000,3.352729,-2.483529,2.554141
0.523000,3.355262,-2.484234,2.555699
0.524000,3.357791,-2.484938,2.557254
0.525000,3.360318,-2.485638,2.558806
0.526000,3.362843,-2.486337,2.560355
0.527000,3.365365,-2.487033,2.561901
0.528000,3.367885,-2.487726,2.563444
0.529000,3.370401,-2.488418,2.564984
0.530000,3.372916,-2.489106,2.566521
0.531000,3.375428,-2.489793,2.568055
0.532000,3.377937,-2.490477,2.569586
0.533000,3.380443,-2.491159,2.571114
0.534000,3.382948,-2.491839,2.572639
0.535000,3.385449,-2.492516,2.574161
0.536000,3.387948,-2.493191,2.575680
0.537000,3.390444,-2.493863,2.577196
0.538000,3.392938,-2.494533,2.578709
0.539000,3.395429,-2.495201,2.580219
0.540000,3.397917,-2.495867,2.581726
0.541000,3.400403,-2.496530,2.583231
0.542000,3.402887,-2.497191,2.584732
0.543000,3.405367,-2.497849,2.586230
0.544000,3.407845,-2.498506,2.587725
0.545000,3.410321,-2.499160,2.589218
0.546000,3.412794,-2.499811,2.590707
0.547000,3.415264,-2.500461,2.592194
0.548000,3.417731,-2.501108,2.593677
0.549000,3.420196,-2.501753,2.595158
0.550000,3.422658,-2.502395,2.596636
0.551000,3.425118,-2.503036,2.598111
0.552000,3.427575,-2.503674,2.599582
0.553000,3.430029,-2.504309,2.601051
0.554000,3.432481,-2.504943,2.602518
0.555000,3.434930,-2.505574,2.603981
0.556000,3.437376,-2.506203,2.605441
0.557000,3.439820,-2.506830,2.606899
0.558000,3.442261,-2.507454,2.608353
0.559000,3.444699,-2.508076,2.609805
0.560000,3.447135,-2.508696,2.611254
0.561000,3.449568,-2.509314,2.612700
0.562000,3.451998,-2.509930,2.614143
0.563000,3.454426,-2.510543,2.615583
0.564000,3.456851,-2.511154,2.617020
0.565000,3.459273,-2.511763,2.618455
0.566000,3.461693,-2.512370,2.619887
0.567000,3.464109,-2.512974,2.621315
0.568000,3.466524,-2.513577,2.622741
0.569000,3.468935,-2.514177,2.624165
0.570000,3.471344,-2.514775,2.625585
0.571000,3.473750,-2.515370,2.627003
0.572000,3.476153,-2.515964,2.628417
0.573000,3.478554,-2.516555,2.629829
0.574000,3.480952,-2.517144,2.631238
0.575000,3.483347,-2.517731,2.632645
0.576000,3.485739,-2.518316,2.634048
