time,B1_0,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
2.104000000,0.987484276,0.000000000,0.157717486,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.157717486,0.000000000,0.987484276,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.436355962,0.000000000,-0.899774124,-0.157717486,0.000000000,1.000000000,0.000000000,0.000000000,0.899774124,0.000000000,0.436355962,-0.987484276,0.000000000,0.000000000,0.000000000,1.000000000
2.105000000,0.987133446,0.000000000,0.159898591,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.159898591,0.000000000,0.987133446,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.439732191,0.000000000,-0.898128944,-0.159898591,0.000000000,1.000000000,0.000000000,0.000000000,0.898128944,0.000000000,0.439732191,-0.987133446,0.000000000,0.000000000,0.000000000,1.000000000
2.106000000,0.986780199,0.000000000,0.162064307,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.162064307,0.000000000,0.986780199,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.443114202,0.000000000,-0.896465172,-0.162064307,0.000000000,1.000000000,0.000000000,0.000000000,0.896465172,0.000000000,0.443114202,-0.986780199,0.000000000,0.000000000,0.000000000,1.000000000
2.107000000,0.986424647,0.000000000,0.164214540,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.164214540,0.000000000,0.986424647,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.446501860,0.000000000,-0.894782705,-0.164214540,0.000000000,1.000000000,0.000000000,0.000000000,0.894782705,0.000000000,0.446501860,-0.986424647,0.000000000,0.000000000,0.000000000,1.000000000
2.108000000,0.986066907,0.000000000,0.166349194,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.166349194,0.000000000,0.986066907,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.449895031,0.000000000,-0.893081441,-0.166349194,0.000000000,1.000000000,0.000000000,0.000000000,0.893081441,0.000000000,0.449895031,-0.986066907,0.000000000,0.000000000,0.000000000,1.000000000
2.109000000,0.985707093,0.000000000,0.168468177,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.168468177,0.000000000,0.985707093,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.453293580,0.000000000,-0.891361279,-0.168468177,0.000000000,1.000000000,0.000000000,0.000000000,0.891361279,0.000000000,0.453293580,-0.985707093,0.000000000,0.000000000,0.000000000,1.000000000
2.110000000,0.985345320,0.000000000,0.170571394,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.170571394,0.000000000,0.985345320,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.456697370,0.000000000,-0.889622118,-0.170571394,0.000000000,1.000000000,0.000000000,0.000000000,0.889622118,0.000000000,0.456697370,-0.985345320,0.000000000,0.000000000,0.000000000,1.000000000
2.111000000,0.984981703,0.000000000,0.172658751,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.172658751,0.000000000,0.984981703,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.460106264,0.000000000,-0.887863855,-0.172658751,0.000000000,1.000000000,0.000000000,0.000000000,0.887863855,0.000000000,0.460106264,-0.984981703,0.000000000,0.000000000,0.000000000,1.000000000
2.112000000,0.984616358,0.000000000,0.174730156,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.174730156,0.000000000,0.984616358,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.463520125,0.000000000,-0.886086392,-0.174730156,0.000000000,1.000000000,0.000000000,0.000000000,0.886086392,0.000000000,0.463520125,-0.984616358,0.000000000,0.000000000,0.000000000,1.000000000
2.113000000,0.984249400,0.000000000,0.176785516,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.176785516,0.000000000,0.984249400,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.466938815,0.000000000,-0.884289626,-0.176785516,0.000000000,1.000000000,0.000000000,0.000000000,0.884289626,0.000000000,0.466938815,-0.984249400,0.000000000,0.000000000,0.000000000,1.000000000
