time,theta0,theta1,dtheta0,dtheta1,M00,M01,M10,M11,Cv0,Cv1,taug0,taug1,hplus0,hplus1,hminus0,hminus1,vdot_plus0,vdot_plus1,vdot_minus0,vdot_minus1
3.043000000,1.118350121,0.642749320,1.282950015,-2.423522685,4.263901694,2.130450847,2.130450847,1.330000000,0.206825248,0.986586234,-22.867282023,-9.632899521,-22.660456774,-8.646313287,23.074107271,10.619485754,10.349928167,-10.077969881,-7.122853769,3.425115856
3.044000000,1.119625949,0.640329223,1.275827161,-2.420097569,4.266798208,2.131899104,2.131899104,1.330000000,0.190219253,0.972505669,-22.877595563,-9.635016551,-22.687376310,-8.662510883,23.067814816,10.607522220,10.361228320,-10.095174804,-7.139038015,3.467809419
3.045000000,1.120894637,0.637912593,1.268688123,-2.416629760,4.269681199,2.133340599,2.133340599,1.330000000,0.173772422,0.958530605,-22.887835980,-9.637127698,-22.714063558,-8.678597093,23.061608401,10.595658303,10.372460819,-10.112326833,-7.155253844,3.510477611
3.046000000,1.122156170,0.635499474,1.261532869,-2.413119282,4.272550639,2.134775319,2.134775319,1.330000000,0.157484913,0.944661189,-22.898003343,-9.639232787,-22.740518430,-8.694571598,23.055488256,10.583893976,10.383625632,-10.129425660,-7.171500500,3.553119018
3.047000000,1.123410531,0.633089908,1.254361368,-2.409566163,4.275406502,2.136203251,2.136203251,1.330000000,0.141356870,0.930897564,-22.908097724,-9.641331648,-22.766740855,-8.710434083,23.049454594,10.572229212,10.394722736,-10.146470991,-7.187777209,3.595732203
3.048000000,1.124657705,0.630683937,1.247173591,-2.405970431,4.278248763,2.137624381,2.137624381,1.330000000,0.125388419,0.917239866,-22.918119194,-9.643424108,-22.792730775,-8.726184242,23.043507613,10.560663974,10.405752115,-10.163462544,-7.204083183,3.638315702
3.049000000,1.125897674,0.628281605,1.239969508,-2.402332116,4.281077396,2.139038698,2.139038698,1.330000000,0.109579672,0.903688224,-22.928067824,-9.645509998,-22.818488151,-8.741821774,23.037647496,10.549198222,10.416713759,-10.180400049,-7.220417616,3.680868026
3.050000000,1.127130423,0.625882954,1.232749090,-2.398651248,4.283892379,2.140446190,2.140446190,1.330000000,0.093930723,0.890242763,-22.937943684,-9.647589148,-22.844012961,-8.757346386,23.031874407,10.537831911,10.427607670,-10.197283246,-7.236779684,3.723387661
3.051000000,1.128355935,0.623488026,1.225512311,-2.394927860,4.286693688,2.141846844,2.141846844,1.330000000,0.078441650,0.876903598,-22.947746847,-9.649661390,-22.869305196,-8.772757792,23.026188497,10.526564988,10.438433853,-10.214111889,-7.253168550,3.765873068
3.052000000,1.129574195,0.621096864,1.218259142,-2.391161987,4.289481301,2.143240651,2.143240651,1.330000000,0.063112516,0.863670842,-22.957477383,-9.651726556,-22.894364867,-8.788055714,23.020589899,10.515397398,10.449192324,-10.230885745,-7.269583359,3.808322683
